"","country","year","GDP","Age_dep_ratio","high_inc","cut_variable"
"193","Vietnam",2020,2123.45605979749,45.0537717122609,0,"[0,1e+04]"
"194","Vanuatu",2020,2539.57300878907,72.4699448028795,0,"[0,1e+04]"
"195","Samoa",2020,3738.26680925983,73.2574791735797,0,"[0,1e+04]"
"196","Euro area",2020,38543.2371424884,56.5558044520012,1,"(3e+04,4e+04]"
"197","High income",2020,42130.5390398542,54.2667064309791,1,"(4e+04,5e+04]"
"198","Heavily indebted poor countries (HIPC)",2020,938.684778769734,83.426299448954,0,"[0,1e+04]"
"199","IBRD only",2020,6071.6332899172,47.8979587212246,0,"[0,1e+04]"
"200","IDA total",2020,1278.84305736714,73.7900023581447,0,"[0,1e+04]"
"201","IDA blend",2020,1694.84558074102,73.1179758891683,0,"[0,1e+04]"
"202","IDA only",2020,1067.94168948633,74.1306366344145,0,"[0,1e+04]"
"203","Latin America & Caribbean (excluding high income)",2020,8330.73368484264,48.88736012244,0,"[0,1e+04]"
"204","Kosovo",2020,4230.27604929602,NA,0,"[0,1e+04]"
"205","Least developed countries: UN classification",2020,983.144709086502,75.6121325823717,0,"[0,1e+04]"
"206","Low income",2020,824.39055165205,82.8391850561393,0,"[0,1e+04]"
"207","Lower middle income",2020,2283.90809737851,55.8668376304638,0,"[0,1e+04]"
"208","Low & middle income",2020,4640.43810187781,54.6257236358065,0,"[0,1e+04]"
"209","Middle income",2020,5075.10870058181,51.4136341687701,0,"[0,1e+04]"
"210","Middle East & North Africa (excluding high income)",2020,3956.61194366987,58.46528776848,0,"[0,1e+04]"
"211","Upper middle income",2020,8773.87528794229,45.5084393047545,0,"[0,1e+04]"
"212","North America",2020,53224.7780456667,53.5822284035953,1,"(5e+04,6e+04]"
"213","Europe & Central Asia",2020,25106.445365613,53.9087761763952,1,"(2e+04,3e+04]"
"214","South Africa",2020,6748.23435464928,52.2314788899993,0,"[0,1e+04]"
"215","Sub-Saharan Africa (excluding high income)",2020,1591.84664526948,82.6449690724387,0,"[0,1e+04]"
"216","Sub-Saharan Africa",2020,1592.80008906004,82.641853553014,0,"[0,1e+04]"
"217","Africa Eastern and Southern",2020,1502.09621981712,80.8469864586379,0,"[0,1e+04]"
"218","Africa Western and Central",2020,1726.02264492629,85.2912705165896,0,"[0,1e+04]"
"219","Latin America & Caribbean",2020,8928.66939475193,49.1105571933509,0,"[0,1e+04]"
"220","Zambia",2020,1558.32300651401,85.6989824814854,0,"[0,1e+04]"
"221","Middle East & North Africa",2020,7258.0857894363,55.4794538702802,0,"[0,1e+04]"
"222","IDA & IBRD total",2020,4822.53708876169,54.6339562026356,0,"[0,1e+04]"
"223","Zimbabwe",2020,1058.84582705136,81.5714960059694,0,"[0,1e+04]"
